publication,label
Ptm xd,1
Cuáles son los otros 3 de la imagen? Desde aquí arriba no alcanzo a ver 🤖🤑,1
"Gente ahora estamos en 48k road to the 50k 🫡

Malditos envidiosos dirán que son bots :v🤖 https://t.co/LkxdlAbGUD",1
Gente no me lo van a creer 👀,1
"Ganó Perú!! 🇵🇪🎉🎉
.
.
. https://t.co/6aDQpv48m8",1
Tmr me veo rico en ese flayer 😳,1
💀 https://t.co/fObyAYqMpe,1
"Algún YouTuber/ Streamer de Ecuador🇪🇨 para sacarnos la mrd en pvp minecraft 1.8

Hacemos un Perú🇵🇪 vs Ecuador🇪🇨 de Ibai

Pero en minecraft 🤑",1
"RT @Hawks_56_1: Adios depa y setup pasaron buenos momentos cague de ri, funas, eventitos, vs de cocina, etc. Mano quema el setup porfa 😕 ht…",1
"Ptm a veces olvido que tengo la medalla de K xd 
contexto = No nada 🫡",1
RT @TheDaarick28: MEME HORNEADO POR MI https://t.co/mOHwUoRDO3,1
"PSICÓLOGO REAL ME HACE TEST DE AUTISMO 👻

 https://t.co/EXm2NT7QuB",1
"Gente recomienden canciones para entrenar 💪🏻
y pesas de cuantos kg me recomiendan 🤔",1
"Nutrióloga me rankea toda la comida de mi cocina 🤮

https://t.co/EXm2NT7iF3",1
"Primera sesión con el psicólogo 💀

https://t.co/EXm2NT7iF3",1
Arrugué 🤡,1
"Gente ya hice el twitch challenge demostrando que son humanos 🤖 ahora haré el bot challenge para ver que tan rentable es botearse, alguien que sepa quién mete bots? 🤑

Hacer esto publico es baneable? @KickEspanol pa saber 🥶",1
"Ayuden a encontrar a estos irresponsables por favor 💀

🗣️Máxima difusión 🗣️",1
Lo de Samahara y Youna deja claro que en la boca de la caperucita el lobo siempre será el malo.,1
A Vizcarra también le van a aplicar la de dos semanas nada más?,1
Está red social es pa funar gente y sacar toda la mrda dentro no?,1
"Hola @grok quien es Guillherme Neyra, comediante Peruano?",1
"Hola @grok , qué opinas del Fujimorismo?",1
Con que nos saldrá el congreso ahora que todo el mundo está atento a lo de Cueva y Pamela.,1
RT @Uncafecommie: Abimael Guzmán esperando la llegada de Alberto Fujimori en el infierno https://t.co/aEc5Tzjc5G,1
