publication,label
Ptm xd,1
Cuáles son los otros 3 de la imagen? Desde aquí arriba no alcanzo a ver 🤖🤑,1
Gente ahora estamos en 48k road to the 50k 🫡  Malditos envidiosos dirán que son bots :v🤖,1
Gente no me lo van a creer 👀,1
Ganó Perú!! 🇵🇪🎉🎉 . . .,1
Tmr me veo rico en ese flayer 😳,1
💀,1
Algún YouTuber/ Streamer de Ecuador🇪🇨 para sacarnos la mrd en pvp minecraft 1.8  Hacemos un Perú🇵🇪 vs Ecuador🇪🇨 de Ibai  Pero en minecraft 🤑,1
"RT : Adios depa y setup pasaron buenos momentos cague de ri, funas, eventitos, vs de cocina, etc. Mano quema el setup porfa 😕 ht…",1
Ptm a veces olvido que tengo la medalla de K xd  contexto = No nada 🫡,1
RT : MEME HORNEADO POR MI,1
PSICÓLOGO REAL ME HACE TEST DE AUTISMO 👻,1
Gente recomienden canciones para entrenar 💪🏻 y pesas de cuantos kg me recomiendan 🤔,1
Nutrióloga me rankea toda la comida de mi cocina 🤮,1
Primera sesión con el psicólogo 💀,1
Arrugué 🤡,1
"Gente ya hice el twitch challenge demostrando que son humanos 🤖 ahora haré el bot challenge para ver que tan rentable es botearse, alguien que sepa quién mete bots? 🤑  Hacer esto publico es baneable?  pa saber 🥶",1
Ayuden a encontrar a estos irresponsables por favor 💀  🗣️Máxima difusión 🗣️,1
Lo de Samahara y Youna deja claro que en la boca de la caperucita el lobo siempre será el malo.,1
A Vizcarra también le van a aplicar la de dos semanas nada más?,1
Está red social es pa funar gente y sacar toda la mrda dentro no?,1
"Hola  quien es Guillherme Neyra, comediante Peruano?",1
"Hola  , qué opinas del Fujimorismo?",1
Con que nos saldrá el congreso ahora que todo el mundo está atento a lo de Cueva y Pamela.,1
RT : Abimael Guzmán esperando la llegada de Alberto Fujimori en el infierno,1
Que ganas de aplicarle un Shiara Tensei al congreso.,1
"Me da gusto que los “artistas” se estén levantando contra el gobierno ahora que les están cambiando las leyes con censuras y quitándoles los incentivos económicos para hacer sus películas, pero con lo demás que está pasando no dicen ni mierda.",1
Qué feo es estar soltero un sábado y con frío,1
Parece que de verdad se quieren bajar a Dina porque Magaly no se soltó ningún buen Ampay para ocultar el chongo,1
