publication,label
"RT @enriquevega__: ➡️🟡 Horacio Calcaterra tampoco viajó con la delegación de Universitario. Ayer el futbolista trabajó diferenciado.

@apre…",3
📌 UNIVERSITARIO DE DEPORTES ya está en TRUJILLO para el partido ante ALIANZA ATLÉTICO. https://t.co/Fwgo8ROAvA,3
"RT @enriquevega__: 🚨🟡 Universitario de Deportes partió rumbo a Trujillo. Jesús Castillo y Gabriel Costa están recuperados, viajaron con el…",3
"“Alianza Atlético es un equipo que para mí que no condice la tabla con lo que bueno que es. Vamos a tener que hacer un gran partido para poder traernos los puntos”.

✍️ Jorge Fossati. 

📸 @palomadelsolar https://t.co/qiv8v7YJU2",3
"""Mi mejor momento es cuando me siento querido. Soy bastante vulnerable fuera de la cancha y quería ir a algún lugar (Everton) para volver a sentir el amor, para despertar y querer volver a jugar con una sonrisa""

✍🏼 Jack Grealish https://t.co/x2eNMYzv7z",3
"RT @enriquevega__: ➡️ Agustín Graneros, delantero de Alianza Atlético de Sullana, habló para 'Estudio Fútbol' sobre su actualidad, el choqu…",3
"➡️ Real Madrid jugará a 300km de China, pero por la Fase Liga de la Champions League 🤯

🇰🇿 Kairat Almaty, de Kazajstán, se dará el lujo de recibir al gigante de la UCL.

🌍 El 5% del territorio de su país pertenece a Europa y por eso compiten en UEFA. https://t.co/r65GaSDt86",3
"➡️ La FPF 🇵🇪 envió cartas de reserva por Fabio Gruber, defensor del FC Núremberg 🇩🇪 y Alexander Robertson, mediocampista del Cardiff City F. C. 🏴󠁧󠁢󠁷󠁬󠁳󠁿. En los próximos días se conocerá si Manuel Barreto decide convocarlos para el amistoso ante Chile. https://t.co/rGBsRyBYwY",3
❓ ¿Qué opinión te merece la situación actual de CARLOS ZAMBRANO? https://t.co/peYpuZYmfg,3
"✍️ Opiniones del BUEN TRIUNFO de SPORTING CRISTAL vs. AYACUCHO:

📸 @palomadelsolar https://t.co/PBGMnb04s9",3
"🚨 FINAL DEL PARTIDO 🚨

📌 SPORTING CRISTAL vapuleó por 3-0 a AYACUCHO y, al menos hasta que juegue CUSCO, está en el 2° lugar del CLAUSURA junto al DORADO con 19 puntos.

📸 @palomadelsolar https://t.co/krZm4gud5F",3
"🚨 FINAL DEL PRIMER TIEMPO 🚨

📌 SPORTING CRISTAL vence por 3-0 a AYACUCHO con un DOBLETE de VIZEU y un tanto de WISDOM. 

📸 @palomadelsolar https://t.co/c58WzWb9oU",3
"🚨 BUEN ARRANQUE DE CRISTAL

➡️ Tras 25 minutos, el local le gana 2-0 a Ayacucho con goles de Wisdom y Felipe Vizeu.

📷 @palomadelsolar https://t.co/cjTy8axsab",3
"🚨 FINAL DEL PARTIDO 🚨

📌 Con DOBLETE de QUINTERO, UTC venció a LOS CHANKAS por 2-0 en el TORNEO CLAUSURA de la @Liga1TeApuesto. https://t.co/20OKTwX67s",3
"RT @Denilson_Jarde: Con Cristian Benavente e Ian Wisdom en el once titular, así arrancará Sporting Cristal ante Ayacucho FC: Enriquez; Sosa…",3
"🗣️ “Me siento culpable y responsable, debo disculparme con mis compañeros”.

✍️ Carlos Zambrano. https://t.co/CgDjIA45Wz",3
⚽️ Nuevo gol de JOAO GRIMALDO 🇵🇪 en el RIGA FC 🇱🇻 https://t.co/MrE3nvWNyG,3
"🗣️ “En el primer tiempo merecimos algún gol más, el arquero de ellos tuvo alguna tapada buena. Había que ganar, Alianza es un rival dificilísimo que está peleando el torneo”.

✍️ Alejandro Hohberg. https://t.co/ZoRGi5cCfb",3
📺 Mira #EstudioFútbol aquí ➡️ https://t.co/9u5CfxVbY3 https://t.co/2NltUA2T8s,3
"Rojas y suspensiones de Zambrano en 2025:

-❌ Sao Paulo (🟨x3)
-🟥 vs Talleres ➡️ Sao Paulo❌
-🟥 vs Cienciano ➡️ Grau❌
-🟥 vs Talleres ➡️ Libertad❌
-🟥 vs Gremio ➡️ U. Cat❌
-Sanción vs Universitario ➡️ Garcilaso❌ y Comerciantes❌
-🟥 vs U. Chile ➡️ vuelta❌
-🟥 vs Cienciano https://t.co/3oBLRBD2FI",3
"SE HACE EL 'LOCO' CON EL PEDIDO 😟

La ‘Nena’ aseguró que su expareja se niega a firmar el permiso que permite a sus pequeños salir del país.

https://t.co/b5fz6jK9Q2",3
"🚨¡SALEN 'VLADI', POLAY Y FELICIANO!😱
¡Fin de una era! Vladimiro Montesinos y cúpula terrorista dejarán la Base Naval y serán trasladados a Ancón II https://t.co/pu6issXYWH",3
