publication,label
"RT @noticiAmerica: Tras el reportaje de @Cuarto_Poder, que reveló cómo algunos congresistas reciben viáticos de hasta S/1,600 semanales inc…",4
"RT @noticiAmerica: ¡#ANDigital con SofIA!
Míranos de lunes a viernes a las 6:00 pm por Tiktok, X, Youtube Shorts y Facebook e Instagram Ree…",4
"#CuartoPoder
Esta semana cayó Gerardo Chunga, tras un seguimiento que desnudó su falso anonimato digital. En simultáneo, fue intervenido el hostal que usaba como centro de operaciones, donde se rescataron tres menores de 14, 15 y 16 años, una de ellas embarazada ► https://t.co/cKFdUAPzqm",4
"#CuartoPoder
La Fiscalía decidió actuar antes de que las evidencias desaparecieran. Con un agente encubierto se infiltró en ese entorno para seguir el rastro, recolectar pruebas y, sobre todo, identificar a “Pollito Amarillo”. Así fue como lograron contactarlo ► https://t.co/A9oFJRW2QW",4
"#CuartoPoder
Según la Fiscalía, Gerardo Chunga, exintegrante de la FAP, habría usado sus conocimientos no para servir al país, sino para involucrarse en graves delitos contra menores. Durante años, sus publicaciones en redes sociales estuvieron expuestas sin que nadie lo alertara https://t.co/WByAN5Hgvj",4
"#CuartoPoder
Desde la Municipalidad de Ate, la gestión de Franco Vidal permitió que tres hermanos se adjudiquen contratos millonarios. En Huaycán, una de sus empresas dejó una obra abandonada, entre escombros y peligro para los vecinos ► https://t.co/T3blzG3ZQp https://t.co/oBzuZErUY0",4
"#CuartoPoder
Desde aquel 29 de junio, cuando hallaron sin vida a José Miguel Castro en su departamento de Miraflores, las circunstancias han estado rodeadas de dudas. Tres meses después, nuevos indicios refuerzan la sospecha de que aquella madrugada no todo ocurrió como se dijo https://t.co/p8c5arSDd4",4
"#CuartoPoder

Elecciones 2026: Rafael López Aliaga lidera con 10% en encuesta Ipsos, mientras Mario Vizcarra sube a 7% y empata con Keiko Fujimori https://t.co/GY8uQfPIkP",4
"#CuartoPoder
Los informes de representación de Rosangella Barbarán revelan que, pese a que gran parte de sus actividades fueron en Lima —incluso por Zoom o dentro del Congreso—, su despacho destinó viáticos para dos comisionadas: 1280 soles cada una por 4 días ► https://t.co/PQkGjMKNDE",4
"#CuartoPoder
Franco Vidal, el alcalde que no tolera críticas y se refugia en su comunidad digital, permitió que un mismo grupo de hermanos se adjudique obras repetidamente. Los apellidos se repiten, los contratos se multiplican y las obras quedan inconclusas ► https://t.co/LkJ03Tc2rX",4
"#CuartoPoder

""Pollito amarillo"": El alias que delató al depredador digital de la FAP, por @JuliochRuiz

Un exsuboficial de la FAP entrenado en ciberseguridad fue capturado tras liderar una red de explotación sexual de menores
https://t.co/hR9TtJ2va3",4
"#CuartoPoder
Aún falta esclarecer quiénes frustraron los dos intentos de captura de Erick Moreno, “El Monstruo”. La información de sus cuatro celulares será clave, mientras permanece en el penal de máxima seguridad de Emboscada, en Paraguay ► https://t.co/T3blzG3ZQp https://t.co/SoH6pXtKpK",4
"#CuartoPoder
El informe de necropsia fue determinante: la herida de José Miguel Castro mide 27 cm y no 14, como señaló la policía. Con 5 cm de ancho y 4.5 cm de profundidad, el corte no es compatible con un suicidio. Aunque no se hallaron golpes ni señales de defensa, la https://t.co/3iM0M0FCe7",4
"#CuartoPoder El viernes, la congresista electa por San Martín, Lucinda Vásquez, realizó actividades en la plaza Bolívar y no en su región. Aunque lo niegue, en sus viajes de representación designó como comisionados a dos sobrinos, quienes además de su sueldo recibieron viáticos. https://t.co/yuKDwjudup",4
"#CuartoPoder

Francisco Rivadeneyra, exjefe de la BRECC Lima Norte, afirmó que una mafia más grande colocó a 'El Monstruo' como cabecilla criminal y que, tras su captura, sus sicarios siguen activos https://t.co/0XkUzVj77o",4
"#CuartoPoder
Para el “Monstruo”, el secuestro es su negocio y la extorsión, el giro de su empresa. Además, el delincuente aseguró que la policía peruana le advertía de algunos allanamientos en su contra ► https://t.co/T3blzG3ZQp https://t.co/KjVuDvt2hm",4
"#CuartoPoder
Franco Vidal convirtió a Ate en un set de streaming. Pero detrás del show, otra historia: bajo su gestión, la familia Huamán Navarro ha concentrado contratos de obras por casi 30 millones de soles en menos de tres años ► https://t.co/T3blzG3ZQp https://t.co/DQCwlHkYHY",4
"#CuartoPoder

Otros contratos millonarios y la misma familia en Ate, por Alonso Dávila

Durante la gestión de Franco Vidal, empresas de una misma familia recibieron millones en obras https://t.co/qudySfMvCc",4
