Emoji,Significado
👏,[emojimanosaplaudiendo]
❤️,[emojicorazónrojo]
🙌,[emojimanoslevantadascelebrando]
😍,[emojicarasonriendoconojosdecorazón]
😭,[emojicarallorandofuerte]
🏻,[emojitonodepielclaro]
😢,[emojicarallorando]
😂,[emojicarallorandoderisa]
🔥,[emojifuego]
👍,[emojipulgarhaciaarriba]
💪,[emojibícepsflexionado]
🏼,[emojitonodepielclaromedio]
🤡,[emojicaradepayaso]
🇪,[emojiE]
💕,[emojidoscorazones]
🇵,[emojiP]
🥺,[emojicaradeporfavor]
♥,[emojipalodecorazón]
😊,[emojicarafelizconojossonrientes]
🥑,[emojiaguacate]
🤣,[emojicararevolviéndosedelarisa]
🏽,[emojitonodepielmedio]
🙏,[emojimanosenoración]
🤗,[emojicaraconmanosabrazando]
💜,[emojicorazónmorado]
🎉,[emojicañóndeconfeti]
😱,[emojicaragritandodemiedo]
👌,[emojiseñaldeaprobaciónconlamano]
😎,[emojicarasonriendocongafasdesol]
💛,[emojicorazónamarillo]
😘,[emojicaralanzandounbeso]
✨,[emojichispas]
😮,[emojicaraconlabocaabierta]
😔,[emojicaradesanimada]
🖤,[emojicorazónnegro]
🤔,[emojicarapensativa]
💙,[emojicorazónazul]
🤩,[emojicarasonriendoconestrellas]
👎,[emojipulgarhaciaabajo]
💯,[emojicienpuntos]
🙄,[emojicaraconojosenblanco]
👀,[emojiojos]
🔝,[emojiflechaTOP]
😅,[emojicarasonriendoconsudorfrío]
😉,[emojicaraguiñandoelojo]
💔,[emojicorazónroto]
💚,[emojicorazónverde]
💖,[emojicorazónbrillante]
🎓,[emojibirrete]
♀,[emojisignofemenino]
💗,[emojicorazóncreciente]
😻,[emojicaradegatosonriendoconojosdecorazón]
🤭,[emojicaraconmanosobrelaboca]
🏾,[emojitonodepieloscuromedio]
😆,[emojicarasonriendoconlosojoscerrados]
☹,[emojicaraconelceñofruncido]
🤧,[emojicaraestornudando]
🥰,[emojicarasonriendoconcorazones]
😁,[emojicararadianteconojossonrientes]
😃,[emojicarasonriendoconojosgrandes]
💓,[emojicorazónlatiendo]
✌,[emojimanoconseñaldevictoria]
♂,[emojisignomasculino]
😀,[emojicarasonriendo]
😞,[emojicaradecepcionada]
🤮,[emojicaravomitando]
🙋,[emojipersonaconlamanolevantada]
🙈,[emojimonoconlosojostapados]
😪,[emojicaradesueño]
🐀,[emojirata]
😌,[emojicaradealivio]
🐔,[emojigallina]
😑,[emojicarasinexpresión]
🏿,[emojitonodepieloscuro]
🐷,[emojicaradecerdo]
🌟,[emojiestrellabrillante]
😳,[emojicarasonrojada]
💞,[emojicorazonesgiratorios]
😣,[emojicaradeinsistencia]
🦠,[emojimicrobio]
😥,[emojicaratristeperoaliviada]
🌈,[emojiarcoíris]
🤙,[emojimanohaciendoelgestodellamar]
🐺,[emojicaradelobo]
🥳,[emojicaradefiesta]
☺,[emojicarasonriente]
🙁,[emojicaraconelceñoligeramentefruncido]
🌸,[emojiflordecerezo]
🤦,[emojipersonaconlamanoenlafrente]
🎊,[emojiboladeconfeti]
🍀,[emojitréboldecuatrohojas]
🙊,[emojimonoconlabocatapada]
😒,[emojicaradedesaprobación]
😐,[emojicaraneutral]
🎶,[emojinotasmusicales]
🧐,[emojicaraconmonóculo]
😄,[emojicarasonriendoconojossonrientes]
😏,[emojicarasonriendoconsuperioridad]
☝,[emojidedoíndicehaciaarriba]
📲,[emojimóvilconunaflecha]
👐,[emojimanosabiertas]
😠,[emojicaraenfadada]
🤬,[emojicaraconsímbolosenlaboca]
🙃,[emojicaraalrevés]
🙂,[emojicarasonriendoligeramente]
🏆,[emojitrofeo]
😬,[emojicarahaciendounamueca]
🤷,[emojipersonaencogidadehombros]
💝,[emojicorazónconlazo]
👨,[emojihombre]
🥲,[emojicarasonrienteconlágrima]
🤓,[emojicaradeempollón]
😫,[emojicaracansada]
👩,[emojimujer]
😿,[emojicaradegatollorando]
👉,[emojidorsodemanocondedoíndicehacialaderecha]
💢,[emojisímbolodeenfado]
🤘,[emojimanohaciendoelsignodecuernos]
📌,[emojichincheta]
😇,[emojicarasonriendoconaureola]
😡,[emojicaracabreada]
😩,[emojicaraagotada]
♡,[emoji♡]
❣,[emojiexclamacióndecorazón]
🤨,[emojicaraconcejaalzada]
💘,[emojicorazónconflecha]
🌴,[emojipalmera]
😲,[emojicaraasombrada]
😓,[emojicaraconsudorfrío]
👇,[emojidorsodemanocondedoíndicehaciaabajo]
🍻,[emojijarrasdecervezabrindando]
😨,[emojicaraasustada]
💃,[emojimujerbailando]
💇,[emojipersonacortándoseelpelo]
🤤,[emojicarababeando]
📷,[emojicámaradefotos]
📸,[emojicámaraconflash]
🐿,[emojiardilla]
😋,[emojicarasaboreandocomida]
Ⓜ,[emojimencírculo]
🎸,[emojiguitarra]
✊,[emojipuñoenalto]
🎈,[emojiglobo]
🚨,[emojilucesdepolicía]
🤞,[emojidedoscruzados]
⚠,[emojiadvertencia️]
💻,[emojiordenadorportátil]
💟,[emojiadornodecorazón]
🔴,[emojicírculorojogrande]
😕,[emojicaradeconfusión]
😜,[emojicarasacandolalenguayguiñandounojo]
😯,[emojicaraestupefacta]
🤍,[emojicorazónblanco]
🤢,[emojicaradenáuseas]
